index,cover,digital_message,analog_message,digital_fsk,analog_fm,digital_ask,analog_am,digital_psk,analog_pm
0,0.0000000000,1,0.0000000000,0.0000000000,0.3826834324,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.3826834324,1,0.0392541395,0.4713967368,0.7098265478,0.3826834324,0.3901943868,-0.3826834324,0.4388867435
2,0.7071067812,1,0.0784137123,0.8314696123,0.9282385540,0.7071067812,0.7348302150,-0.7071067812,0.7886253591
3,0.9238795325,1,0.1173843796,0.9951847267,0.9997337563,0.9238795325,0.9781040454,-0.9238795325,0.9783813747
4,1.0000000000,1,0.1560722576,0.9238795325,0.9085076287,1.0000000000,1.0780361288,-1.0000000000,0.9700990547
5,0.9238795325,1,0.1943841439,0.6343932842,0.6653152354,0.9238795325,1.0136732985,-0.9238795325,0.7661053244
6,0.7071067812,1,0.2322277418,0.1950903220,0.3073604858,0.7071067812,0.7892116867,-0.7071067812,0.4083225460
7,0.3826834324,1,0.2695118827,-0.2902846773,-0.1065377724,0.3826834324,0.4342522985,-0.3826834324,-0.0306443954
8,0.0000000000,1,0.3061467459,-0.7071067812,-0.5050978321,0.0000000000,0.0000000000,-0.0000000000,-0.4625721274
9,-0.3826834324,1,0.3420440747,-0.9569403357,-0.8167608515,-0.3826834324,-0.4481307326,0.3826834324,-0.8016083774
10,-0.7071067812,1,0.3771173895,-0.9807852804,-0.9828811449,-0.7071067812,-0.8404379129,0.7071067812,-0.9814287224
11,-0.9238795325,1,0.4112821954,-0.7730104534,-0.9694599372,-0.9238795325,-1.1138671337,0.9238795325,-0.9680803187
12,-1.0000000000,1,0.4444561864,-0.3826834324,-0.7749813472,-1.0000000000,-1.2222280932,1.0000000000,-0.7660325873
13,-0.9238795325,1,0.4765594436,0.0980171403,-0.4324429267,-0.9238795325,-1.1440212905,0.9238795325,-0.4164339250
14,-0.7071067812,1,0.5075146273,0.5555702330,-0.0046761533,-0.7071067812,-0.8865402985,0.7071067812,0.0118036749
15,-0.3826834324,1,0.5372471639,0.8819212643,0.4266333099,-0.3826834324,-0.4854812267,0.3826834324,0.4360518676
16,-0.0000000000,0,0.5656854249,-1.0000000000,0.7764432999,-0.0000000000,-0.0000000000,-0.0000000000,0.7761750478
17,0.3826834324,0,0.5927609003,-0.9569403357,0.9734606074,0.1339392013,0.4961033203,0.3826834324,0.9696525705
18,0.7071067812,0,0.6184083627,-0.8314696123,0.9753465648,0.2474873734,0.9257471546,0.7071067812,0.9827526594
