floor,x_m,y_m,row,col,channel_24,channel_5,newly_covered,score
3,23.75,18.75,7,9,1,36,134,527.50
2,23.75,58.75,23,9,1,36,132,511.00
2,68.75,18.75,7,27,1,36,128,495.00
2,68.75,58.75,23,27,1,36,128,495.00
1,38.75,18.75,7,15,1,36,121,475.50
3,83.75,28.75,11,33,6,36,103,399.10
3,43.75,48.75,19,17,11,36,100,393.20
1,53.75,48.75,19,21,6,36,95,368.20
2,8.75,28.75,11,3,11,36,96,362.60
3,53.75,8.75,3,21,11,36,89,337.80
1,83.75,8.75,3,33,6,36,86,330.10
1,83.75,68.75,27,33,11,36,82,315.10
1,8.75,48.75,19,3,1,36,78,298.80
3,83.75,53.75,21,33,11,36,79,294.90
3,8.75,68.75,27,3,11,36,71,271.10
1,38.75,68.75,27,15,11,36,72,260.70
1,13.75,8.75,3,5,6,36,65,241.40
3,53.75,68.75,27,21,6,40,67,239.30
1,88.75,41.25,16,35,1,36,64,238.50
2,38.75,23.75,9,15,6,40,59,189.30
1,53.75,28.75,11,21,11,40,43,118.40
3,58.75,41.25,16,23,1,40,41,113.60
3,16.25,41.25,16,6,6,40,37,104.30
1,26.25,41.25,16,10,11,40,34,86.80
2,93.75,8.75,3,37,11,40,29,77.70
2,93.75,58.75,23,37,6,40,25,60.70
1,8.75,73.75,29,3,6,40,21,49.50
2,13.75,3.75,1,5,1,40,22,44.80
2,96.25,41.25,16,38,11,44,14,21.60
