time,original,reconstructed
0.000000,0.000000,0.000000
0.000500,0.175219,0.099436
0.001000,0.346208,0.208661
0.001500,0.508877,0.324507
0.002000,0.659418,0.443467
0.002500,0.794427,0.561835
0.003000,0.911021,0.675863
0.003500,1.006929,0.781915
0.004000,1.080570,0.876626
0.004500,1.131096,0.957047
0.005000,1.158419,1.020774
0.005500,1.163208,1.066062
0.006000,1.146855,1.091898
0.006500,1.111423,1.098058
0.007000,1.059565,1.085120
0.007500,0.994427,1.054443
0.008000,0.919528,1.008119
0.008500,0.838632,0.948882
0.009000,0.755613,0.879993
0.009500,0.674309,0.805105
0.010000,0.598385,0.728098
0.010500,0.531202,0.652914
0.011000,0.475690,0.583382
0.011500,0.434249,0.523047
0.012000,0.408654,0.475010
0.012500,0.400000,0.441785
0.013000,0.408654,0.425183
0.013500,0.434249,0.426223
0.014000,0.475690,0.445077
0.014500,0.531202,0.481052
0.015000,0.598385,0.532608
0.015500,0.674309,0.597413
0.016000,0.755613,0.672435
0.016500,0.838632,0.754056
0.017000,0.919528,0.838227
0.017500,0.994427,0.920625
0.018000,1.059565,0.996835
0.018500,1.111423,1.062535
0.019000,1.146855,1.113673
0.019500,1.163208,1.146639
0.020000,1.158419,1.158419
0.020500,1.131096,1.146724
0.021000,1.080570,1.110092
0.021500,1.006929,1.047952
0.022000,0.911021,0.960660
0.022500,0.794427,0.849492
0.023000,0.659418,0.716600
0.023500,0.508877,0.564938
0.024000,0.346208,0.398152
0.024500,0.175219,0.220446
0.025000,0.000000,0.036423
0.025500,-0.175219,-0.149088
0.026000,-0.346208,-0.331204
0.026500,-0.508877,-0.505180
0.027000,-0.659418,-0.666573
0.027500,-0.794427,-0.811408
0.028000,-0.911021,-0.936319
0.028500,-1.006929,-1.038666
0.029000,-1.080570,-1.116620
0.029500,-1.131096,-1.169222
0.030000,-1.158419,-1.196403
0.030500,-1.163208,-1.198972
0.031000,-1.146855,-1.178575
0.031500,-1.111423,-1.137612
0.032000,-1.059565,-1.079140
0.032500,-0.994427,-1.006743
0.033000,-0.919528,-0.924390
0.033500,-0.838632,-0.836279
0.034000,-0.755613,-0.746672
0.034500,-0.674309,-0.659740
0.035000,-0.598385,-0.579401
0.035500,-0.531202,-0.509181
0.036000,-0.475690,-0.452085
0.036500,-0.434249,-0.410495
0.037000,-0.408654,-0.386090
0.037500,-0.400000,-0.379788
0.038000,-0.408654,-0.391730
0.038500,-0.434249,-0.421278
0.039000,-0.475690,-0.467049
0.039500,-0.531202,-0.526975
0.040000,-0.598385,-0.598385
0.040500,-0.674309,-0.678109
0.041000,-0.755613,-0.762594
0.041500,-0.838632,-0.848039
0.042000,-0.919528,-0.930527
0.042500,-0.994427,-1.006175
0.043000,-1.059565,-1.071260
0.043500,-1.111423,-1.122361
0.044000,-1.146855,-1.156469
0.044500,-1.163208,-1.171094
0.045000,-1.158419,-1.164355
0.045500,-1.131096,-1.135037
0.046000,-1.080570,-1.082639
0.046500,-1.006929,-1.007388
0.047000,-0.911021,-0.910237
0.047500,-0.794427,-0.792830
0.048000,-0.659418,-0.657457
0.048500,-0.508877,-0.506976
0.049000,-0.346208,-0.344723
0.049500,-0.175219,-0.174409
0.050000,-0.000000,-0.000000
0.050500,0.175219,0.174409
0.051000,0.346208,0.344723
0.051500,0.508877,0.506976
0.052000,0.659418,0.657457
0.052500,0.794427,0.792830
0.053000,0.911021,0.910237
0.053500,1.006929,1.007388
0.054000,1.080570,1.082639
0.054500,1.131096,1.135037
0.055000,1.158419,1.164355
0.055500,1.163208,1.171094
0.056000,1.146855,1.156469
0.056500,1.111423,1.122361
0.057000,1.059565,1.071260
0.057500,0.994427,1.006175
0.058000,0.919528,0.930527
0.058500,0.838632,0.848039
0.059000,0.755613,0.762594
0.059500,0.674309,0.678109
0.060000,0.598385,0.598385
0.060500,0.531202,0.526975
0.061000,0.475690,0.467049
0.061500,0.434249,0.421278
0.062000,0.408654,0.391730
0.062500,0.400000,0.379788
0.063000,0.408654,0.386090
0.063500,0.434249,0.410495
0.064000,0.475690,0.452085
0.064500,0.531202,0.509181
0.065000,0.598385,0.579401
0.065500,0.674309,0.659740
0.066000,0.755613,0.746672
0.066500,0.838632,0.836279
0.067000,0.919528,0.924390
0.067500,0.994427,1.006743
0.068000,1.059565,1.079140
0.068500,1.111423,1.137612
0.069000,1.146855,1.178575
